,Unnamed: 0,OBJECTID,Agency,State,Unit ID,Unit Name,Fire_Code,Incident Indentifier,Fire Name,Protection_Type,Cause,Owner,Acres,WUI,Size Class,Size_Class_Rank,Date,Month,Day,Year,MONTHST,DAYST,YEARST,Elevation,LatNAD83,LongNAD83,created_user,created_date,last_edited_user,last_edited_date,District,GlobalID,County,Dispatch Unit ID,x,y,PresBurn,FireName,Date_cData
9036,9036,9300,BLM,NV,NVCCD,Carson City District,J866,,DIXIE,,Natural,1,2,,B,2,5/28/2000 0:00,5,28,2000,5,28,2000,4426,39.633,-118.184,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,42cc99f5-7d5d-4358-8fb2-b9cc39493459,Churchill,USNVSFC,398393.7758,4387694.807,NO,,
9041,9041,9305,BLM,NV,NVCCD,Carson City District,J876,,MINERAL,,Natural,1,40,,C,3,6/17/2000 0:00,6,17,2000,6,17,2000,4656,39.2457,-119.356,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,24b4aad5-b1b2-42e7-b60e-a24a68b6a751,Lyon,USNVSFC,296685.721,4346688.131,NO,,
9043,9043,9307,BLM,NV,NVCCD,Carson City District,J878,,JUMBO,,Human,8,3,,B,2,6/19/2000 0:00,6,19,2000,6,19,2000,5276,39.2824,-119.7571,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,c60d2779-a48c-48b9-b37f-41686823393d,Washoe,USNVSFC,262191.4152,4351739.8,NO,,
9044,9044,9308,BLM,NV,NVCCD,Carson City District,J879,,POLELINE,,Human,8,1.8,,B,2,6/21/2000 0:00,6,21,2000,6,21,2000,4511,39.7566,-119.6321,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,08bb47d7-2496-44aa-b244-5efaa7631e65,Washoe,USNVSFC,274514.4497,4404056.335,NO,,
9045,9045,9309,BLM,NV,NVCCD,Carson City District,J880,,GRANT,,Natural,1,5,,B,2,6/22/2000 0:00,6,22,2000,6,22,2000,4347,38.5438,-118.5443,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,659b66aa-5c14-4b02-a7fc-b6d5066fa251,Mineral,USNVSFC,365418.2296,4267283.854,NO,,
9046,9046,9310,BLM,NV,NVCCD,Carson City District,J881,,BURBANK,,Natural,1,1.5,,B,2,6/23/2000 0:00,6,23,2000,6,23,2000,6125,38.6299,-119.4054,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,167b2446-228f-4650-92cd-41161b99a1ca,Douglas,USNVSFC,290617.7721,4278452.237,NO,,
9047,9047,9311,BLM,NV,NVCCD,Carson City District,J882,,BURBANK 2,,Natural,1,3,,B,2,6/23/2000 0:00,6,23,2000,6,23,2000,5646,38.9485,-119.431,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,4ebc4abf-58de-4206-8571-91b2b6ad3ded,Douglas,USNVSFC,289329.5396,4313872.013,NO,,
9048,9048,9312,BLM,NV,NVCCD,Carson City District,J883,NV-CCD-J883,8TH HOLE,,Human,8,1766,,F,6,6/25/2000 0:00,6,25,2000,6,25,2000,5725,39.5519,-119.6652,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,6c0f32b2-776f-4ba2-9bcd-3ddceb0227d3,Washoe,USNVSFC,271003.4672,4381417.29,NO,,
9049,9049,9313,BLM,NV,NVCCD,Carson City District,J884,,VIRGINIA,,Human,8,35,,C,3,6/25/2000 0:00,6,25,2000,6,25,2000,5092,39.7546,-119.5446,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,8e5de8c6-43f1-491d-9cd3-68be2870c02a,Washoe,USNVSFC,282004.972,4403617.585,NO,,
9050,9050,9314,BLM,NV,NVCCD,Carson City District,J885,,HUNGARY,,Natural,8,10,,C,3,6/25/2000 0:00,6,25,2000,6,25,2000,4751,39.6902,-119.686,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,736602f4-2b5b-4969-8086-220342a6a263,Washoe,USNVSFC,269675.3592,4396822.602,NO,,
